epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,3107.4,0.37464,0.46677,0.3054,0.79977,0.98352,0.98942,0.98992,0.95524,0.98352,0.98942,0.98992,0.92515,0.28883,0.3402,0.22568,0.78012,0.00079804,0.00079804,0.00079804
53,3167.07,0.38768,0.47385,0.30792,0.79909,0.98229,0.97884,0.99331,0.94913,0.98229,0.97884,0.99331,0.93184,0.30455,0.31583,0.24073,0.78433,0.00079408,0.00079408,0.00079408
54,3227.07,0.38512,0.4799,0.31076,0.79851,0.97903,0.98804,0.99316,0.96432,0.97903,0.98804,0.99316,0.93848,0.27107,0.31709,0.21735,0.77808,0.00079012,0.00079012,0.00079012
55,3286.96,0.37383,0.45853,0.30618,0.80125,0.99381,0.96825,0.98857,0.95805,0.99381,0.96825,0.98857,0.93052,0.2853,0.28729,0.23711,0.7776,0.00078616,0.00078616,0.00078616
56,3346.46,0.37104,0.44308,0.29019,0.79365,0.97372,0.98021,0.99143,0.94865,0.97372,0.98021,0.99143,0.93318,0.31206,0.30467,0.23848,0.78091,0.0007822,0.0007822,0.0007822
57,3406.23,0.3731,0.46912,0.30821,0.80221,0.98576,0.96825,0.98667,0.94769,0.98576,0.96825,0.98667,0.91497,0.28921,0.30985,0.25145,0.77815,0.00077824,0.00077824,0.00077824
58,3465.9,0.37686,0.47092,0.3046,0.79647,0.98411,0.98292,0.99374,0.9649,0.98411,0.98292,0.99374,0.92321,0.27802,0.31272,0.21559,0.77782,0.00077428,0.00077428,0.00077428
59,3525.2,0.37638,0.4594,0.29715,0.79791,0.98722,0.97354,0.99036,0.96203,0.98722,0.97354,0.99036,0.92859,0.27519,0.31681,0.2296,0.77647,0.00077032,0.00077032,0.00077032
60,3584.58,0.37442,0.45678,0.31405,0.79856,0.98929,0.97764,0.9928,0.95874,0.98929,0.97764,0.9928,0.93227,0.2929,0.29478,0.2299,0.77989,0.00076636,0.00076636,0.00076636
61,3644.42,0.3807,0.4778,0.30812,0.80312,0.98394,0.97249,0.99372,0.95687,0.98394,0.97249,0.99372,0.93661,0.28767,0.31616,0.22733,0.77722,0.0007624,0.0007624,0.0007624
