epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4148.04,0.37289,0.48886,0.2972,0.80192,0.98894,0.99936,0.99455,0.96081,0.98894,0.99936,0.99455,0.94562,0.30207,0.28119,0.21954,0.79423,0.00075844,0.00075844,0.00075844
63,4206.8,0.36186,0.47079,0.30509,0.7988,0.99438,0.9887,0.99461,0.97208,0.99438,0.9887,0.99461,0.94825,0.27165,0.28442,0.21911,0.78418,0.00075448,0.00075448,0.00075448
64,4265.24,0.3675,0.49236,0.30789,0.79498,0.97238,0.98323,0.99305,0.96061,0.97238,0.98323,0.99305,0.93978,0.30354,0.3046,0.24459,0.78375,0.00075052,0.00075052,0.00075052
65,4323.54,0.36037,0.4495,0.29526,0.80596,0.98743,0.98883,0.99381,0.9608,0.98743,0.98883,0.99381,0.94116,0.29184,0.27389,0.23155,0.78424,0.00074656,0.00074656,0.00074656
66,4382.31,0.35766,0.44897,0.30052,0.7991,0.9834,0.99292,0.9945,0.96561,0.9834,0.99292,0.9945,0.94245,0.28385,0.29839,0.22289,0.78529,0.0007426,0.0007426,0.0007426
67,4441.17,0.36633,0.45083,0.30357,0.79103,0.97803,0.99478,0.99427,0.95796,0.98181,0.98883,0.99422,0.93418,0.30853,0.2848,0.22611,0.79579,0.00073864,0.00073864,0.00073864
68,4499.86,0.36452,0.46454,0.30276,0.80259,0.99376,0.98324,0.99473,0.96224,0.99376,0.98324,0.99473,0.94058,0.28718,0.27547,0.22306,0.79324,0.00073468,0.00073468,0.00073468
69,4559.1,0.35416,0.47257,0.3083,0.80044,0.98809,1,0.99455,0.96747,0.98809,1,0.99455,0.94547,0.29373,0.26232,0.21166,0.78982,0.00073072,0.00073072,0.00073072
70,4618.3,0.36073,0.43701,0.29449,0.79946,0.97259,0.99111,0.9941,0.96397,0.97259,0.99111,0.9941,0.93803,0.29196,0.28346,0.21704,0.79721,0.00072676,0.00072676,0.00072676
71,4679.52,0.36119,0.42439,0.29274,0.79214,0.97423,0.98883,0.99338,0.95481,0.97423,0.98883,0.99338,0.94006,0.32801,0.28727,0.22805,0.79768,0.0007228,0.0007228,0.0007228
72,4739.79,0.36162,0.46195,0.29629,0.79949,0.987,0.99441,0.99472,0.96719,0.987,0.99441,0.99472,0.94551,0.28619,0.2899,0.21665,0.78551,0.00071884,0.00071884,0.00071884
73,4798.23,0.36201,0.45971,0.30871,0.80312,0.97683,1,0.99421,0.95913,0.97683,1,0.99421,0.95546,0.30787,0.26608,0.23624,0.7825,0.00071488,0.00071488,0.00071488
74,4856.8,0.36475,0.43118,0.29193,0.8036,0.99291,1,0.995,0.95886,0.99291,1,0.995,0.93892,0.30911,0.2868,0.22042,0.7899,0.00071092,0.00071092,0.00071092
75,4915.75,0.35482,0.42834,0.29247,0.79578,0.99444,0.99841,0.995,0.96685,0.99444,0.99841,0.995,0.95059,0.28002,0.27041,0.20731,0.78048,0.00070696,0.00070696,0.00070696
